ensembl_id	gene_symbol	entrez_id	hetionet_gene_id	hetionet_gene_symbol	mapping_status
ENSG00000000003	TSPAN6	7105	Gene::7105	TSPAN6	mapped
ENSG00000000005	TNMD	64102	Gene::64102	TNMD	mapped
ENSG00000000419	DPM1	8813	Gene::8813	DPM1	mapped
ENSG00000000457	SCYL3	57147	Gene::57147	SCYL3	mapped
ENSG00000000460	FIRRM	55732	Gene::55732	C1orf112	mapped
ENSG00000000938	FGR	2268	Gene::2268	FGR	mapped
ENSG00000000971	CFH	3075	Gene::3075	CFH	mapped
ENSG00000001036	FUCA2	2519	Gene::2519	FUCA2	mapped
ENSG00000001084	GCLC	2729	Gene::2729	GCLC	mapped
ENSG00000001167	NFYA	4800	Gene::4800	NFYA	mapped
ENSG00000001460	STPG1	90529	Gene::90529	STPG1	mapped
ENSG00000001461	NIPAL3	57185	Gene::57185	NIPAL3	mapped
ENSG00000001497	LAS1L	81887	Gene::81887	LAS1L	mapped
ENSG00000001561	ENPP4	22875	Gene::22875	ENPP4	mapped
ENSG00000001617	SEMA3F	6405	Gene::6405	SEMA3F	mapped
ENSG00000001626	CFTR	1080	Gene::1080	CFTR	mapped
ENSG00000001629	ANKIB1	54467	Gene::54467	ANKIB1	mapped
ENSG00000001630	CYP51A1	1595	Gene::1595	CYP51A1	mapped
ENSG00000001631	KRIT1	889	Gene::889	KRIT1	mapped
ENSG00000002016	RAD52	5893	Gene::5893	RAD52	mapped
ENSG00000002330	BAD	572	Gene::572	BAD	mapped
ENSG00000002549	LAP3	51056	Gene::51056	LAP3	mapped
ENSG00000002586	CD99	4267	Gene::4267	CD99	mapped
ENSG00000002587	HS3ST1	9957	Gene::9957	HS3ST1	mapped
ENSG00000002726	AOC1	26	Gene::26	AOC1	mapped
ENSG00000002745	WNT16	51384	Gene::51384	WNT16	mapped
ENSG00000002746	HECW1	23072	Gene::23072	HECW1	mapped
ENSG00000002822	MAD1L1	8379	Gene::8379	MAD1L1	mapped
ENSG00000002834	LASP1	3927	Gene::3927	LASP1	mapped
ENSG00000002919	SNX11	29916	Gene::29916	SNX11	mapped
ENSG00000002933	TMEM176A	55365	Gene::55365	TMEM176A	mapped
ENSG00000003056	M6PR	4074	Gene::4074	M6PR	mapped
ENSG00000003096	KLHL13	90293	Gene::90293	KLHL13	mapped
ENSG00000003137	CYP26B1	56603	Gene::56603	CYP26B1	mapped
ENSG00000003147	ICA1	3382	Gene::3382	ICA1	mapped
ENSG00000003249	DBNDD1	79007	Gene::79007	DBNDD1	mapped
ENSG00000003393	ALS2	57679	Gene::57679	ALS2	mapped
ENSG00000003400	CASP10	843	Gene::843	CASP10	mapped
ENSG00000003402	CFLAR	8837	Gene::8837	CFLAR	mapped
ENSG00000003436	TFPI	7035	Gene::7035	TFPI	mapped
ENSG00000003509	NDUFAF7	55471	Gene::55471	NDUFAF7	mapped
ENSG00000003756	RBM5	10181	Gene::10181	RBM5	mapped
ENSG00000003987	MTMR7	9108	Gene::9108	MTMR7	mapped
